bo.,Scheme,Major Component,Sub Component,Activity Master ID,Activity Master Name,Activity Master Details ID,Activity Master Details,Norms,Criteria For Appraisal
654,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.24,Examination Fee,Physical Number should proposed per Girl Student,
655,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),,,,
656,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.1,Construction of building (new) / Upgradation,As per  State SORs/CPWD Rate (Which ever is less),
657,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
658,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
659,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.4,Furniture/ Equipment (including kitchen),Physical Number should be proposed on no. of Girls Students,
660,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
661,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
662,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.7,Replacement of bedding (once in 3 years),Physical should be proposed per Student,
663,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),,,,
664,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.1,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
665,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.2,Stipend per girl per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
666,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.3,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
667,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
668,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.5,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
669,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.6,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
670,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.7,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
671,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.8,"2 Support Staff - (Accountant / Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
672,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.9,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
673,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.1,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
674,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.11,1 Head Teacher/Principal,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
675,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.12,4 Full Time Teachers/Lecturer,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
676,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.13,Specific skill training per girl,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
677,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.14,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
678,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.15,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
679,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.16,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
680,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.17,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
681,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.18,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
682,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.19,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
683,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.2,Provision of Rent,Physical Number should proposed per Girl Student per annum,
684,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.21,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
685,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.22,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
686,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.23,Examination Fee,Physical Number should proposed per Girl Student,
687,Elementary Education,Gender & Equity,Rani Laxmibai Atma Raksha Prashikshan,184,Rani Laxmibai Atma Raksha Prashikshan (up to Highest Class VIII),,,,
688,Elementary Education,Gender & Equity,Rani Laxmibai Atma Raksha Prashikshan,184,Rani Laxmibai Atma Raksha Prashikshan (up to Highest Class VIII),184.1,Rani Laxmibai Atma Raksha Prashikshan (Upto Class VIII),Provision for upto Rs. 5000 per month for 3 months per school.,
689,Elementary Education,Gender & Equity,Special Projects for Equity,187,Special Projects for Equity - (NR) (Elementary),,,,
690,Elementary Education,Gender & Equity,Special Projects for Equity,187,Special Projects for Equity - (NR) (Elementary),187.1,Sanitary pad Vending & incinerator machines,Government Schools having girls enrollment from Class 6 - 8,
691,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),191,Student Oriented Components (Pre-Primary) (District Level)  (Recurring),,,,
692,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),191,Student Oriented Components (Pre-Primary) (District Level)  (Recurring),191.1,Purchase/Development of  age appropriate TLMs,Physical Number should be proposed no. of Districts,
693,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),191,Student Oriented Components (Pre-Primary) (District Level)  (Recurring),191.2,"Orientation of Principals, Pre-Primary teachers, Anganwadi workers,parents/guardians etc",Physical Number should be proposed no. of Districts,
694,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),194,Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),,,,
695,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),194,Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),194.2,Gap Identification for OoSCwSN,Physical Number Should proposed per Student,
696,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),194,Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),194.3,"Assistive Devices,Equipments and TLM",Physical Number Should proposed per Student,
697,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),194,Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),194.4,Helper/Ayas/Attendant,Physical Number should proposed No. of School and resource rooms at block level,
698,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),,,,
699,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),196.3,Escort Allowance,Physical Number Should proposed per Student,
700,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),196.4,Transport Allowance,Physical Number Should proposed per Student,
701,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),196.5,"Braille Stationary Material (Inc. Embossed Charts, globes etc)",Physical Number should proposed No. of Students (Only for VI and Low Vision Students),
702,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),196.6,Providing Aids & Appliances,Physical Number to be proposed per Student along with category of disability,
703,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),196.7,Story tellers for CWSN including the usage of sign language,Physical Number to be proposed per Pre-primary schools,
704,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),197,Stipend for Girls (Pre-Primary) (Recurring),,,,
705,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),197,Stipend for Girls (Pre-Primary) (Recurring),197.1,Stipend for Girls,Rs. 200 per month for 10 months,CWSN Enrolment as per UDISE +
706,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),198,Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),,,,
707,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),198,Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),198.1,Purchase/Development of instructional & Training materials,,
708,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),198,Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),198.2,Sports & Exposure Visit,,
